title,description,source,access,date,lang,issue,tags,
Spatial Networks in Trade Credit Between Geographically Close Industrial Small and Medium Enterprises in an Urban Environment,"Using enterprise-level data from a survey of small and medium enterprises in Madrid, the impact of a local network on improving trade credit availability was shown, especially with micro-sized companies. ",https://www.tandfonline.com/doi/abs/10.1111/gere.12361,,2019-02-15,en,20-Nov,"industry, journal",
Exploring the SAR Tools Landscape in 2018,A review of open and proprietary software for SAR data processing and visualizations.,https://towardsdatascience.com/exploring-the-sar-tools-landscape-in-2018-925aec6fe7c3,,2020-01-21,en,20-Nov,"methods, data, blog",
"SAR 201: An Introduction to Synthetic Aperture Radar, Part 2","Introduction to SAR data processing, analysis, and deep learning.",https://medium.com/the-downlinq/sar-201-an-introduction-to-synthetic-aperture-radar-part-2-895beb0b4c0a,,2019-12-13,en,20-Nov,"methods, data, blog",
The geography of intercity technology transfer networks in China,Analyzing the spatial structure of inter-city patent transfers between 2008-2015 shows intensification of technology and knowledge transferral. ,https://www.tandfonline.com/doi/full/10.1080/21681376.2019.1627905,,2019-06-03,en,20-Nov,"journal, industry",
A global analysis of cities’ geosocial temporal signatures for points of interest hours of operation,"A study into the influence of cultural and geophysical factors on business hours of operation, through the use of Facebook data for retail and restaurant locations around the globe. ",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1615069,,2019-06-04,en,20-Nov,"industry, methods, journal",
Economic Impacts of COVID-19: A Menacing New Curve Rises,"Using spatial analysis, regions in the United States of America were assessed for areas that would be most affected economically by Covid-19 and where relief efforts should be focused.",https://medium.com/urbanfootprint/economic-impacts-of-covid-19-a-menacing-new-curve-rises-84d6c63f3c75,,2020-04-09,en,20-Nov,"blog, industry",
Real-time GIS for smart cities,"An overview of potential technology data sources used by smart cities, the challenges faced when using this data, and examples on the many ways smart cities can improve their functionality using this data.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1673397 ,,2019-09-23,en,20-Nov,"journal, industry",
"OGC adopts Extension to its Moving Features Standard, enabling JSON Encoding","In June, 2020, the OGC extended its moving features standard to allow the movements of geographic features (e.g. cars, airplanes, pedestrians, etc) to be encoded using JSON instead of XML or CSV. ",https://www.ogc.org/pressroom/pressreleases/3217,,2020-06-02,en,20-Nov,methods,
Airbnb and crime in Barcelona (Spain): testing the relationship using a geographically weighted regression,"Using multiple spatial models, the relation between Airbnb density and lodging types were compared with crimes against persons and properties in the tourist city of Barcelona, Spain.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1831603,,2020-06-16,en,20-Nov,"industry, journal",
"Assessing the Influence of Tourism-Driven Activities on Environmental Variables on Hainan Island, China","An examination of the environmental effects of the booming tourism industry from 2000 to 2019 on Hainan Island, China, using remotely sensed MODIS imagery, land-cover data, and POI data. ",https://www.mdpi.com/2072-4292/12/17/2813,,2020-06-04,en,20-Nov,"journal, methods, industry",
Towards knowledge-based geovisualisation using Semantic Web technologies: a knowledge representation approach coupling ontologies and rules,Huang and Harrie (2020) propose an alternative knowledge-based approach to semantically link geovisualizations.,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2019.1604835?needAccess=true,,2019-04-15,en,20-Nov,"visuals, methods, journal",
Top 4 trends likely to escalate demand for LiDAR in Mapping Solutions worldwide,"Overview of growing demand for LiDAR technology for Geomatics, such as for mining and business applications.",https://www.geospatialworld.net/blogs/top-4-trends-likely-to-escalate-demand-for-lidar-in-mapping-solutions-worldwide/,,2020-10-22,en,20-Nov,"data, methods, news",
Unraveled! The H3 Geospatial Indexing System,"H3, developed by Uber, is a global indexing system that uses a hexagonal grid system to manage and visualize various scales of observations.",https://www.geospatialworld.net/article/unraveled-the-h3-geospatial-indexing-system/,,2020-10-22,en,20-Nov,"methods, news",
Talking PostGIS on Podcasts,Interested in PostGIS? Check out some podcasts with Paul Ramsey (a PostGIS developer) on the use of PostGIS for managing and visualizing geographic data onto web maps!,http://blog.cleverelephant.ca/2020/10/podcasts.html?utm_source=dlvr.it&utm_medium=twitter,,2020-10-12,en,20-Nov,"methods, blog",
H2O Geomatics : Utilisation de la technologie de télédétection pour améliorer les rendements agricoles à l’aide de NXT Farm,"L’application Web NXT Farm utilise les données de satellites en orbite pour informer les utilisateurs de l’état de santé des cultures et fournir des plans de fertilisation à taux variable. L’application NXT Farm comprend l’IVDN ainsi que des algorithmes personnalisés qui permettent de paramétrer les concentrations d’azote dans les cultures, le stress hydrique et l’humidité du sol. ",https://www.cengn.ca/h2o-geomatics-remote-sensing-to-improve-yields/ ,,2020-03-16,fr,20-Nov,"agriculture, nouvelles",
"Classification des cultures à la mi-saison au moyen de la polarisation double, compacte et complète en prévision de la mission de la Constellation RADARSAT (MCR)",Comparaison de la précision de la classification des cultures pour diverses données de radar à synthèse d’ouverture (RSO) polarisées du Manitoba à l’aide d’algorithmes des forêts aléatoires fondés sur les pixels et sur les objets.,https://www.mdpi.com/2072-4292/11/13/1582/htm,,2019-05-19,fr,20-Nov,"agriculture, revue",
Cartographier chaque arbre sur terre grâce aux réseaux neuronaux convolutifs?,"Progrès dans l’utilisation des RNC pour détecter les arbres. Étude de cas en Afrique occidentale. Bien que la géographie soit nettement différente de celle du Canada, des techniques générales peuvent tout de même être appliquées.",https://cleantechnica.com/2020/10/20/convolutional-neural-networks-may-allow-mapping-of-every-tree-on-earth/,,2020-10-20,fr,20-Nov,"environnement, nouvelles",
iHabiMap,Projet irlandais de surveillance environnementale à grande échelle faisant intervenir plusieurs acteurs qui fait appel à des véhicules aériens sans pilote et des techniques d’apprentissage automatique.,https://jcresearch.wixsite.com/ihabimap,,2020-01-01,fr,20-Nov,"environnement, nouvelles",
"Science avancée : le dépistage de l’Alzheimer, des drones qui cartographient les forêts, l’apprentissage automatique dans l’espace, et plus ",TechCrunch fait un survol des progrès dans l’utilisation des véhicules aériens sans pilote et des données spatiales d’observation de la Terre pour mesurer des phénomènes de surface.,https://techcrunch.com/2020/10/23/deep-science-alzheimers-screening-forest-mapping-drones-machine-learning-in-space-more/,,2020-10-23,fr,20-Nov,"méthodes, nouvelles, industrie",
Comment les sociétés minières peuvent tirer parti du raffinage des données géospatiales et satellitaires,"Présentation de la plateforme Descartes Lab, qui permet d’accéder à des données spatiales d’observation de la Terre et de les utiliser pour permettre des avancées dans le secteur minier.",https://www.mining.com/how-mining-companies-can-leverage-geospatial-satellite-data-refinery/,,2020-10-04,fr,20-Nov,"méthodes, industrie",
La télédétection et la visualisation facilitent l’accès virtuel aux données de projet essentielles,"Par suite des restrictions mises en place en raison de la COVID-19, la télédétection est rapidement devenue une solution de rechange possible aux visites sur place et le balayage laser haute définition a été adopté pour détecter les anomalies.",https://www.jwnenergy.com/article/2020/5/20/remote-sensing-and-visualization-making-it-easier-/,,2020-05-20,fr,20-Nov,"méthodes, industrie",
Technologie d’exploration de la qualité du charbon fondée sur un apprentissage ELM multicouche incrémental et des images de télédétection,"Intégrant les données spectrales à l’imagerie satellite, l’algorithme IM-ELM a été proposé en vue d’améliorer les capacités de télédétection et de classification des images de charbon et de gangue.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8636547,,2019-02-06,fr,20-Nov,"nouvelles, industrie",
"Agglomération et regroupement spatial de l'industrie manufacturière : Témoignages de la province de Hebei, Chine","En utilisant des techniques telles que l'autocorrélation spatiale locale et un modèle de quotient de localisation industrielle, les chercheurs ont identifié les grappes spatiales de diverses régions d'industrie manufacturière. ",https://link.springer.com/article/10.1007/s10668-019-00328-1,,2019-02-15,fr,20-Nov,"industrie, revue",
"Proximité géographique, commerce et croissance économique : une approche d'économétrie spatiale","Un modèle spatial mesurant les flux commerciaux bilatéraux et la distance géographique permet d'étudier les relations spatiales entre un pays et ses partenaires commerciaux, ainsi que la croissance des pays voisins.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1714727,,2020-01-07,fr,20-Nov,"industrie, revue",
Les réseaux spatiaux dans le crédit commercial entre des petites et moyennes entreprises industrielles géographiquement proches dans un environnement urbain,"En utilisant des données au niveau de l'entreprise provenant d'une enquête sur les petites et moyennes entreprises à Madrid, l'impact d'un réseau local sur l'amélioration de la disponibilité des crédits commerciaux a été démontré, en particulier avec les microentreprises.",https://www.tandfonline.com/doi/abs/10.1111/gere.12361,,2020-12-13,fr,20-Nov,"industrie, revue",
Découverte des outils pour les données RSO en 2018,Un examen des logiciels ouverts et propriétaires permettant le traitement et la visualisation des données RSO.,https://towardsdatascience.com/exploring-the-sar-tools-landscape-in-2018-925aec6fe7c3,,2018-10-17,fr,20-Nov,"méthodes, données, blog",
"RSO 201 : Une introduction au radar à synthèse d’ouverture, deuxième partie","Introduction au traitement des données RSO, à l’analyse et à l’apprentissage profond.",https://medium.com/the-downlinq/sar-201-an-introduction-to-synthetic-aperture-radar-part-2-895beb0b4c0a,,2018-02-13,fr,20-Nov,"méthodes, données, blog",
La géographie des réseaux de transfert de technologie interurbains en Chine,L'analyse de la structure spatiale des transferts de brevets entre villes entre 2008 et 2015 montre une intensification du transfert de technologies et de connaissances.,https://www.tandfonline.com/doi/full/10.1080/21681376.2019.1627905,,2019-02-18,fr,20-Nov,"revue, industrie",
Comparaison des signatures géospatiales temporelles des entreprises urbaines :,"Étude de l’influence des facteurs culturels et géophysiques sur les heures d’ouverture des entreprises, au moyen de données tirées de Facebook pour des commerces de détail et des restaurants partout dans le monde.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1615069,,2018-06-01,fr,20-Nov,"industrie, méthodes, revue",
Identification des régions des États-Unis les plus touchées sur le plan économique en raison de la COVID-19,"Au moyen d’analyses spatiales, des régions des États-Unis ont été examinées pour trouver les secteurs qui seraient les plus touchés sur le plan économique en raison de la COVID-19 et qui devraient être ciblés par des mesures d’aide.",https://medium.com/urbanfootprint/economic-impacts-of-covid-19-a-menacing-new-curve-rises-84d6c63f3c75,,2019-04-09,fr,20-Nov,"blog, industrie",
Utilisations des données en temps réel dans les villes intelligentes,"Survol des sources de données qui peuvent être utilisées par les technologies dans les villes intelligentes, des défis qui se posent lorsqu’on utilise ces données, et des nombreuses façons dont les villes intelligentes peuvent améliorer leur fonctionnement grâce à ces données.",https://www.tandfonline.com/doi/full/10.1080/13658816.2019.1673397 ,,2019-09-23,fr,20-Nov,"revue, industrie",
Élargissement par l’Open Geospatial Consortium (OGC) de la portée de sa norme sur les entités mobiles pour permettre le codage JSON,"En juin 2020, l’OGC a élargi la portée de sa norme sur les entités mobiles pour permettre le codage des entités géographiques (p. ex. véhicules, avions, piétons, etc.) en format JSON plutôt que XML ou CSV.",https://www.ogc.org/pressroom/pressreleases/3217,,2020-06-02,fr,20-Nov,méthodes,
"Relations entre les hébergements Airbnb et le crime à Barcelone, en Espagne","Au moyen de multiples modèles spatiaux, la densité et le type des hébergements Airbnb ont été comparés avec les crimes à l’endroit des personnes et des biens dans la ville touristique de Barcelone, en Espagne.",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1831603,,2020-06-16,fr,20-Nov,"revue, industrie",
"Évaluation des répercussions du tourisme sur l’environnement à Hainan, en Chine","Évaluation des répercussions environnementales de l’industrie touristique florissante à Hainan (Chine) de 2000 à 2019, au moyen du capteur MODIS utilisé en télédétection, de données sur la couverture terrestre et de données sur les points d’intérêt.",https://www.mdpi.com/2072-4292/12/17/2813,,2020-06-04,fr,20-Nov,"revue, méthodes, industrie",
Vers la géovisualisation axée sur le savoir grâce aux technologies du Web sémantique : approche par représentation du savoir jumelant ontologies et règles,Huang et Harrie (2020) proposent une approche axée sur le savoir pour lier sémantiquement les géovisualisations.,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2019.1604835?needAccess=true,,2019-04-15,fr,20-Nov,"revue, méthodes, visuels",
4 tendances qui feront vraisemblablement croître la demande pour la technologie de cartographie LiDAR à l’échelle mondiale,"Grandes lignes de l’accroissement de la demande pour la technologie LiDAR dans le domaine de la géomatique, notamment pour l’exploitation minière et la gestion.",https://www.geospatialworld.net/blogs/top-4-trends-likely-to-escalate-demand-for-lidar-in-mapping-solutions-worldwide/,,2020-10-22,fr,20-Nov,"données, méthodes, nouvelles",
Tout sur le système d’indexation géospatiale H3,"H3, créé par Uber, est un système d’indexation mondial qui utilise un système à grille hexagonale pour contrôler et visualiser des observations selon plusieurs échelles.",https://www.geospatialworld.net/article/unraveled-the-h3-geospatial-indexing-system/,,2020-10-22,fr,20-Nov,"méthodes, nouvelles",
Balados sur PostGIS ,Vous voulez en savoir plus sur PostGIS? Écoutez ces podcasts dans lesquels Paul Ramsey (un développeur PostGIS) parle de l’utilisation de PostGIS pour gérer et visualiser des données géographiques sur des cartes Web!,http://blog.cleverelephant.ca/2020/10/podcasts.html?utm_source=dlvr.it&utm_medium=twitter,,2020-10-12,fr,20-Nov,"méthodes, blog",
More accurate and flexible cloud masking for Sentinel-2 images,A case for applying Google's 's2cloudless' algorithm to Sentinel-2 images for cloud cover removal.,https://medium.com/google-earth/more-accurate-and-flexible-cloud-masking-for-sentinel-2-images-766897a9ba5f,2020-11-17,2020-11-09,en,20-Dec,"methods, blog",
Monitoring air quality with S5P TROPOMI data,A Google Earth Engine project uses the Tropospheric Monitoring Instrument to determine global air quality.,https://medium.com/google-earth/monitoring-air-quality-with-s5p-tropomi-data-4f6b0aebe1c0,2020-11-17,2020-04-17,en,20-Dec,"methods, blog",
Generating crop classification maps using AI,"Start-up company, PlanetWatchers, uses SAR imagery and neural networks for crop classification.",https://www.planetwatchers.com/generating-crop-classification-maps-using-ai/,2020-11-17,2021-11-20,en,20-Dec,"agriculture, blog",
What’s the matter with NDVI? You are!,A blog discussion of common misconceptions and limitations of NVDI usage in agritech as well as potential alternatives.,https://www.planetwatchers.com/whats-the-matter-with-ndvi-you-are/,2020-11-17,2021-11-20,en,20-Dec,"agriculture, blog",
Multi-label Classification of Satellite Images with Deep Learning ,Leveraging pre-existing deep learning CNN models for multi-label identification of artisanal small-scale and illegal mines.,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi3yfj_hI_tAhVYs54KHZUWAlgQFjACegQIBBAC&url=http%3A%2F%2Fcs231n.stanford.edu%2Freports%2F2017%2Fpdfs%2F908.pdf&usg=AOvVaw3yLOvPsQrz1F3ZaShEx7hq,2020-11-19,2019-05-20,en,20-Dec,"industry, methods, journal",
Mining and Tailings Dam Detection In Satellite Imagery Using Deep Learning ,Satellite detection of mines and tailings using convolutional neural networks.,https://arxiv.org/abs/2007.01076,2020-11-17,2020-07-02,en,20-Dec,"industry, methods, journal",
Why geospatial technologies will be at forefront as the world reopens,A blog discussion on the significance of GeoAI in a post-COVID19 world.,https://www.geospatialworld.net/blogs/why-geospatial-technologies-will-be-at-the-forefront-as-the-world-reopens/,2020-11-16,2020-08-06,en,20-Dec,"industry, news",
The Potential Role of GIS in COVID-19 Vaccine Distribution,"GIS applications in storage, transportation, and distribution of the potential COVID-19 vaccine from Pfizer and Moderna.",https://www.gislounge.com/the-potential-role-of-gis-in-covid-19-vaccine-distribution/,2020-11-20,2020-11-01,en,20-Dec,"industry, news",
Masquage des nuages plus précis et plus flexible pour les images Sentinel-2,Arguments en faveur de l’application de l’algorithme « s2cloudless » de Google aux images Sentinel-2 pour la suppression de la couverture nuageuse.,https://medium.com/google-earth/more-accurate-and-flexible-cloud-masking-for-sentinel-2-images-766897a9ba5f,2020-11-17,2020-11-09,fr,20-Dec,"méthodes, blog",
Surveillance de la qualité de l’air avec les données du TROPOMI (Tropospheric Monitoring Instrument) de Sentinel-5P,Projet Google Earth Engine utilisant le TROPOMI pour déterminer la qualité de l’air dans le monde.,https://medium.com/google-earth/monitoring-air-quality-with-s5p-tropomi-data-4f6b0aebe1c0,2020-11-17,2020-04-17,fr,20-Dec,"méthodes, blog",
Génération de cartes de classification des cultures à l’aide de l’IA,La société en démarrage PlanetWatchers utilise l’imagerie par radar à synthèse d’ouverture (SAR) et les réseaux neuronaux pour la classification des cultures.,https://www.planetwatchers.com/generating-crop-classification-maps-using-ai/,2020-11-17,2021-11-20,fr,20-Dec,"agriculture, blog",
Quel est le problème avec l’Indice de végétation par différence normalisée (IVDN)? C’est vous!,"Discussion de blogue sur les idées fausses répandues relativement à l’utilisation de l’IVDN en agrotechnologie et sur ses limites, ainsi que sur les autres solutions possibles.",https://www.planetwatchers.com/whats-the-matter-with-ndvi-you-are/,2020-11-17,2021-11-20,fr,20-Dec,"agriculture, blog",
Classification multiétiquettes des images satellites avec apprentissage profond ,"Exploitation des modèles à réseau de neurones convolutifs d’apprentissage profond préexistants pour l’identification multiétiquettes des mines artisanales de petite taille, ainsi que des mines illégales.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi3yfj_hI_tAhVYs54KHZUWAlgQFjACegQIBBAC&url=http%3A%2F%2Fcs231n.stanford.edu%2Freports%2F2017%2Fpdfs%2F908.pdf&usg=AOvVaw3yLOvPsQrz1F3ZaShEx7hq,2020-11-19,2019-05-20,fr,20-Dec,"industrie, méthodes, revue",
Détection des barrages miniers et des digues de contention des résidus dans l’imagerie satellite grâce à l’apprentissage profond ,Détection par satellite des mines et des résidus miniers à l’aide de réseaux de neurones convolutifs.,https://arxiv.org/abs/2007.01076,2020-11-17,2020-07-02,fr,20-Dec,"industrie, méthodes, revue",
Pourquoi les technologies géospatiales seront en première ligne lorsque le monde s’ouvrira à nouveau,Discussion de blogue sur l’importance de l’intelligence artificielle géospatiale (GeoAI) dans le monde postpandémique.,https://www.geospatialworld.net/blogs/why-geospatial-technologies-will-be-at-the-forefront-as-the-world-reopens/,2020-11-16,2020-08-06,fr,20-Dec,"industrie, nouvelles",
Le rôle potentiel des SIG dans la distribution du vaccin contre la COVID-19,"Applications des SIG pour le stockage, le transport et la distribution des vaccins potentiels contre la COVID-19 de Pfizer et de Moderna.",https://www.gislounge.com/the-potential-role-of-gis-in-covid-19-vaccine-distribution/,2020-11-20,2020-11-01,fr,20-Dec,"industrie, nouvelles",
GEO Health CoP virtual meeting - December 15th,"This meeting will provide an opportunity for members of Earth science and public health communities to describe key international projects and updates, enhance professional networks through work group activities, and discuss priority focus areas that advance GEO and AGU efforts. ",http://www.geohealthcop.org/workshops/2020/12/15/geo-health-cop-agu2020,2020-12-15,,en,20-Dec,"industry, event",
Réunion virtuelle GEO Health CoP – 15 décembre,"Cette réunion offrira aux membres des communautés des sciences de la terre et de la santé publique une occasion de décrire leurs principaux projets internationaux et les mises à jour, d’améliorer leurs réseaux professionnels au moyen d’activités de groupes de travail et de discuter des domaines d’intervention prioritaires qui font progresser les efforts de GEO et de l’AGU.",http://www.geohealthcop.org/workshops/2020/12/15/geo-health-cop-agu2020,2020-12-15,,fr,20-Dec,"industrie, événement",
Prediction of traffic accidents hot spots using fuzzy logic and GIS,"The article examines how accident hot spots can be predicted using the Weighted Overlay Method, Fuzzy Overlay Method, and Point Density in Irbid, Jordan. Using these approaches, sections of roads and intersections were identified as high-risk and each method was compared to identify the most at risk locations.",https://www.researchgate.net/profile/Nawras_Shatnawi/publication/337718956_Prediction_of_traffic_accidents_hot_spots_using_fuzzy_logic_and_GIS/links/5de76e0a4585159aa45f87d7/Prediction-of-traffic-accidents-hot-spots-using-fuzzy-logic-and-GIS.pdf,,,en,20-Dec,journal,
Prédiction des points chauds pour les accidents routiers grâce à la logique floue et le SIG,"Cet article examine comment les points chauds pour les accidents routiers peuvent être prédits avec la méthode de superposition pondérée, la méthode de superposition floue et la densité en un point à Irbid, en Jordanie. Au moyen de ces méthodes, on a déterminé les sections de routes et les intersections qui présentent à risque accru d’accident, et chacune d’entre elles a été comparée pour déterminer les endroits les plus à risque.",https://www.researchgate.net/profile/Nawras_Shatnawi/publication/337718956_Prediction_of_traffic_accidents_hot_spots_using_fuzzy_logic_and_GIS/links/5de76e0a4585159aa45f87d7/Prediction-of-traffic-accidents-hot-spots-using-fuzzy-logic-and-GIS.pdf,,,fr,20-Dec,revue,
Accessibility analysis for more informed transport planning,"Adoption of an accessibility analysis as part of transportation network planning in the city of Bend, Oregon in provide a more insightful understanding of the connectivity issues in the city compared to only using a Travel Demand Model (TDM). This article highlights some of the benefits and factors to consider when performing an accessibility analysis, especially in regards to pedestrian transit/bike transportation.",https://medium.com/@emilyeros/accessibility-analysis-for-more-informed-transport-planning-some-local-findings-3c4d08836d19,,,en,20-Dec,blog,
Analyse de l’accessibilité pour mieux planifier les transports,"L’analyse de l’accessibilité dans le cadre de la planification du réseau de transport dans la ville de Bend, en Oregon, peut apporter un nouvel éclairage sur les problèmes de connectivité comparativement à un modèle de demande en transport. Cet article souligne certains avantages et facteurs à prendre en considération lors d’une analyse de l’accessibilité, plus particulièrement en ce qui concerne le transport des piétons et des vélos.",https://medium.com/@emilyeros/accessibility-analysis-for-more-informed-transport-planning-some-local-findings-3c4d08836d19,,,fr,20-Dec,blog,
"Potential Locations of Marine Tourism in Pasumpahan Island, Padang City – Indonesia","A study using GIS to identified potential locations for snorkelling tourism around Pasumpahan Island. Using weighted score values for a variety of suitability parameters (e.g. water brightness and coral cover), four sampling locations were assessed and given a suitability classification.",https://www.researchgate.net/profile/Aprizon_Putra/publication/340428187_Potential_Locations_of_Marine_Tourism_in_Pasumpahan_Island_Padang_City_-_Indonesia/links/5e8817504585150839bd4163/Potential-Locations-of-Marine-Tourism-in-Pasumpahan-Island-Padang-City-Indonesia.pdf,,,en,20-Dec,"journal, industry",
"Emplacements possibles de tourisme marin à l’île de Pasumpahan, à Padang, en Indonésie","Une étude menée à l’aide du SIG a permis de déterminer des emplacements possibles de tourisme pour la plongée avec tuba autour de l’île de Pasumpahan. Grâce à l’utilisation des valeurs de notes pondérées pour divers paramètres de pertinence (p. ex. brillance de l’eau et couverture corallienne), quatre lieux d’échantillonnage ont été évalués et ont obtenu une classification de pertinence.",https://www.researchgate.net/profile/Aprizon_Putra/publication/340428187_Potential_Locations_of_Marine_Tourism_in_Pasumpahan_Island_Padang_City_-_Indonesia/links/5e8817504585150839bd4163/Potential-Locations-of-Marine-Tourism-in-Pasumpahan-Island-Padang-City-Indonesia.pdf,,,fr,20-Dec,"revue, industrie",
Artificial Intelligence Systems applied to tourism: A Survey,"A survey into how AI is used in the tourism industry. The article discusses various forms of AI technology, including; approaches for recommendation systems (e.g. destination recommendations or user specific tourism packages), personal agents (e.g. interactive tour guide), prediction of human flows of traffic, and city planning and assessment of environmental impacts using geospatial technology.",https://arxiv.org/abs/2010.14654,,,en,20-Dec,"journal, industry",
Systèmes d’intelligence artificielle appliqués au tourisme : une enquête,"Une enquête sur la façon dont l’IA est utilisée dans l’industrie du tourisme. L’article traite de diverses formes de technologie d’IA, y compris des approches pour les systèmes de recommandation (p. ex. recommandations de destinations ou forfaits touristiques correspondant aux besoins de l’utilisateur), agents personnels (p. ex. guide touristique interactif), prédiction de la circulation humaine, et évaluation des conséquences sur l’environnement et planification d’une ville à l’aide de la technologie géospatiale.",https://arxiv.org/abs/2010.14654,,,fr,20-Dec,"revue, industrie",
"Space-Based Earth Observation: How Satellites Improve Our Lives Every Day, with Canadian Astronaut Jeremy Hansen",Register today to learn more about the applications of space data to government operations in this unique panel discussion moderated by Canadian astronaut Jeremy Hansen. Experts from 6 different Government of Canada departments will share insights on how space data is being used across their respective sectors to further public policy objectives.,https://www.csps-efpc.gc.ca/events/space-based-earth/index-eng.aspx,,,en,20-Dec,event,
Observation de la Terre depuis l'espace : comment les satellites améliorent continuellement notre vie avec l'astronaute canadien Jeremy Hansen,Inscrivez-vous dès aujourd'hui pour en apprendre plus sur l'utilisation des données spatiales dans les opérations gouvernementales dans le cadre de cette discussion animée par l'astronaute canadien Jeremy Hansen. Des experts de six ministères du gouvernement du Canada discuteront de leurs points de vue sur l'utilisation des données spatiales dans leur secteur respectif pour faire progresser les objectifs de politique publique.,https://www.csps-efpc.gc.ca/events/space-based-earth/index-fra.aspx,,,fr,20-Dec,événement,
"The 15-minute city aims to build more liveable neighbourhoods. In Canada, only 23 per cent of urban dwellers live in this type of area",Comparing access to amenity-rich neighbourhoods across several major cities in Canada using Statistics Canada's Proximity Measures. ,https://www.theglobeandmail.com/canada/article-when-it-comes-to-liveable-neighbourhoods-theres-a-wide-divide-in/,,,en,20-Dec,"news, visuals, statcan",
"La ville du quart d'heure vise à construire des quartiers plus vivables. Au Canada, seuls 23 % des citadins vivent dans ce type de quartier",Comparaison de l'accès aux quartiers riches en commodités dans plusieurs grandes villes du Canada à l'aide des mesures de proximité de Statistique Canada. ,https://www.theglobeandmail.com/canada/article-when-it-comes-to-liveable-neighbourhoods-theres-a-wide-divide-in/,,,fr,20-Dec,"nouvelles, visuels, statcan",
